Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer
67,164,2,5,2,4,4,4,True,False,True,False
30,214,2,0,2,3,2,2,False,True,True,False
58,3004,1,5,5,5,1,4,True,False,True,False
32,2195,4,4,4,4,5,5,True,False,True,False
27,1416,1,2,2,1,3,1,False,True,False,True
16,371,2,4,3,1,3,3,False,True,True,False
52,337,0,0,0,2,3,4,False,True,True,False
54,488,3,3,3,3,4,4,False,True,True,False
27,3195,2,2,2,2,5,5,False,True,True,False
36,228,3,0,3,2,3,3,True,False,False,True
55,3834,2,2,2,2,2,4,False,True,True,False
35,1848,1,4,4,4,3,4,True,False,True,False
50,1310,1,1,1,1,5,5,False,True,True,False
41,228,2,5,2,4,3,2,False,True,True,False
42,1773,3,3,3,3,4,3,True,False,True,False
56,2182,3,3,3,2,2,3,True,False,True,False
52,1976,2,2,2,2,4,5,False,True,True,False
55,964,3,3,3,3,2,5,False,True,True,False
31,666,3,2,3,3,5,3,False,True,True,False
52,1399,3,4,4,4,1,3,True,False,True,False
20,134,0,4,0,1,3,0,False,True,False,True
21,950,4,0,4,4,2,4,False,True,False,True
40,1892,3,2,3,3,4,5,False,True,True,False
33,1846,3,3,3,3,5,5,False,True,True,False
61,2895,0,0,0,3,5,4,False,True,True,False
57,2400,2,2,2,2,5,5,True,False,True,False
69,1256,3,1,3,2,2,1,True,False,True,False
49,236,3,2,3,4,2,3,True,False,True,False
53,370,1,1,1,1,4,1,True,False,True,False
40,259,2,0,2,3,1,2,False,True,False,True
60,3670,2,2,2,2,3,5,True,False,True,False
46,3631,2,5,5,5,4,3,False,True,True,False
52,762,4,4,4,3,2,4,False,True,True,False
35,83,4,4,4,4,3,4,True,False,True,False
50,1235,2,2,2,3,4,2,True,False,False,True
42,2125,3,3,3,3,5,5,True,False,True,False
44,120,0,3,0,2,4,1,True,False,True,False
60,861,2,5,2,3,4,5,True,False,True,False
37,899,3,3,3,4,5,3,False,True,False,True
12,937,3,5,3,3,1,3,True,False,True,False
15,296,1,3,1,3,5,1,False,True,False,True
22,488,3,5,3,3,2,3,False,True,False,True
37,3905,4,3,3,3,1,3,False,True,True,False
43,3363,4,4,4,4,3,4,True,False,True,False
31,762,2,5,1,4,1,1,True,False,True,False
57,2134,5,5,5,5,3,4,False,True,True,False
47,657,4,2,4,3,5,3,True,False,True,False
23,1565,1,3,3,3,1,1,False,True,True,False
28,2675,3,3,3,3,4,4,True,False,True,False
21,2504,3,1,3,1,3,1,False,True,True,False
27,679,4,1,1,1,4,5,True,False,True,False
24,3408,2,4,4,4,2,2,True,False,True,False
59,623,3,0,3,1,1,3,False,True,False,True
25,462,3,4,4,4,3,3,True,False,True,False
13,936,2,1,2,4,4,2,True,False,True,False
65,425,3,4,4,4,3,3,False,True,True,False
48,3889,1,1,4,1,2,5,True,False,True,False
47,265,2,3,2,3,2,2,False,True,True,False
36,282,2,2,2,2,4,3,True,False,True,False
47,101,2,3,3,3,3,3,True,False,True,False
55,158,4,5,5,5,2,5,True,False,True,False
42,2399,1,1,1,1,3,5,False,True,True,False
15,787,2,5,2,5,2,2,True,False,True,False
22,2177,4,4,4,4,4,4,False,True,True,False
61,531,5,5,5,5,3,3,False,True,True,False
47,214,2,4,2,1,4,1,True,False,True,False
35,1750,4,4,4,4,2,2,True,False,True,False
26,1504,1,4,4,4,1,1,True,False,True,False
38,1702,2,2,2,2,1,4,False,True,True,False
58,184,4,1,1,1,4,4,False,True,True,False
22,2841,2,2,2,2,3,3,False,True,True,False
11,634,4,4,4,4,1,4,False,True,True,False
38,667,2,2,2,1,5,2,True,False,False,True
48,864,2,5,2,1,1,2,False,True,True,False
42,711,2,5,5,5,3,4,False,True,True,False
29,895,2,2,2,2,5,5,True,False,True,False
20,2295,2,2,2,3,4,2,False,True,False,True
58,3770,2,2,2,2,2,5,False,True,True,False
23,349,4,0,4,3,5,4,False,True,False,True
58,266,1,2,1,4,1,1,False,True,True,False
20,419,0,4,0,3,2,0,True,False,True,False
33,945,2,3,2,5,5,2,False,True,True,False
15,733,4,4,4,2,3,4,True,False,False,True
33,1990,5,5,5,5,4,4,False,True,True,False
53,1203,4,3,3,3,1,3,True,False,True,False
66,163,1,4,1,4,1,1,False,True,True,False
55,1444,4,2,4,2,5,4,False,True,True,False
35,507,1,1,1,3,5,1,True,False,False,True
38,299,4,4,4,1,3,4,False,True,False,True
60,925,2,5,2,3,2,2,False,True,True,False
53,721,5,5,5,5,2,5,False,True,True,False
77,3167,2,4,4,4,4,3,True,False,True,False
25,361,2,3,2,2,1,2,True,False,False,True
19,438,1,1,3,4,2,3,True,False,True,False
47,1919,1,3,3,3,5,2,True,False,True,False
33,362,1,1,1,3,2,1,False,True,False,True
58,2274,1,1,1,1,4,4,True,False,True,False
61,402,4,5,5,5,3,5,False,True,True,False
50,473,3,3,3,3,1,3,False,True,False,True
16,1011,5,5,5,1,2,5,False,True,False,True
69,1313,2,4,2,4,2,4,False,True,True,False
26,679,3,4,4,1,4,4,False,True,False,True
29,390,2,5,2,4,5,2,False,True,True,False
55,302,1,5,1,3,1,2,True,False,True,False
27,2157,2,2,3,2,5,5,False,True,True,False
11,547,1,5,1,5,2,1,False,True,True,False
31,190,0,0,0,3,4,5,False,True,True,False
38,1121,5,5,5,5,4,4,False,True,True,False
41,3340,1,1,1,1,5,3,False,True,True,False
13,451,3,4,4,3,5,4,False,True,True,False
24,1357,4,4,4,2,1,4,True,False,False,True
53,2456,5,5,5,5,3,4,True,False,True,False
43,592,1,3,1,1,3,1,False,True,True,False
22,679,2,2,2,3,4,2,True,False,False,True
34,255,4,4,0,4,1,0,False,True,True,False
36,495,5,2,2,2,4,5,True,False,True,False
22,272,2,0,2,1,3,2,True,False,False,True
14,916,3,3,3,4,5,3,True,False,False,True
53,2125,1,1,1,1,3,5,False,True,True,False
31,850,1,5,1,5,4,1,True,False,True,False
62,2556,2,5,2,1,2,4,True,False,True,False
60,1087,1,0,0,3,5,0,True,False,False,True
46,1710,3,1,3,1,5,3,True,False,True,False
21,441,1,5,1,3,2,1,True,False,True,False
28,1069,4,5,5,4,4,5,True,False,False,True
33,862,3,5,5,5,3,2,True,False,True,False
46,937,4,4,4,4,3,5,False,True,True,False
55,349,5,1,5,3,4,4,True,False,True,False
54,1581,2,2,2,2,5,3,True,False,True,False
26,345,2,3,2,4,3,2,True,False,True,False
40,589,3,3,3,3,3,3,True,False,False,True
26,1237,5,5,5,2,3,5,True,False,False,True
19,2583,3,4,3,3,2,3,False,True,True,False
23,2043,1,0,0,4,1,0,False,True,True,False
59,1988,2,2,2,2,4,4,True,False,True,False
